Order Date,What is your current level of education?,Do you have any dietary requirements?,I wish to be contacted by sponsors about future opportunities,What year of study?
13/02/2024 16:25,Undergraduate,N/A,TRUE,1st Year
15/02/2024 01:15,Undergraduate,Vegetarian,TRUE,1st Year
15/02/2024 13:58,Undergraduate,Other,TRUE,3rd Year
15/02/2024 14:51,Undergraduate,N/A,TRUE,2nd Year
15/02/2024 17:17,Undergraduate,N/A,TRUE,2nd Year
15/02/2024 18:17,Unspecified,N/A,TRUE,Unspecified
15/02/2024 18:48,Undergraduate,Vegan,TRUE,3rd Year
15/02/2024 18:48,Undergraduate,N/A,TRUE,1st Year
15/02/2024 22:08,Undergraduate,N/A,FALSE,2nd Year
16/02/2024 06:17,Undergraduate,N/A,TRUE,1st Year
16/02/2024 16:04,Undergraduate,N/A,FALSE,2nd Year
16/02/2024 16:09,Undergraduate,N/A,TRUE,2nd Year
16/02/2024 16:11,Undergraduate,Other,TRUE,2nd Year
16/02/2024 16:12,Undergraduate,N/A,TRUE,2nd Year
19/02/2024 10:47,Graduate,Other,TRUE,Unspecified
19/02/2024 11:40,Unspecified,N/A,TRUE,Unspecified
20/02/2024 10:32,Graduate,Vegetarian,FALSE,Unspecified
20/02/2024 12:31,Graduate,Other,TRUE,Unspecified
20/02/2024 12:34,Undergraduate,N/A,FALSE,1st Year
20/02/2024 14:15,Undergraduate,N/A,TRUE,1st Year
20/02/2024 14:56,Graduate,N/A,TRUE,Unspecified
20/02/2024 15:02,Graduate,Vegetarian,TRUE,Unspecified
20/02/2024 15:04,Graduate,Vegetarian,TRUE,Unspecified
20/02/2024 15:30,Undergraduate,Gluten-free | Other,FALSE,4th Year
20/02/2024 16:39,Other,Other,FALSE,Unspecified
20/02/2024 19:06,Graduate,Vegetarian,FALSE,Unspecified
20/02/2024 21:03,Other,Other,TRUE,Unspecified
20/02/2024 21:08,Undergraduate,Other,FALSE,4th Year
20/02/2024 22:02,Graduate,N/A,TRUE,Unspecified
20/02/2024 23:17,Undergraduate,Vegetarian | Gluten-free,TRUE,1st Year
21/02/2024 11:46,Graduate,Other,TRUE,Unspecified
21/02/2024 11:47,Graduate,N/A,TRUE,Unspecified
21/02/2024 12:13,Other,N/A,TRUE,Unspecified
21/02/2024 12:20,Graduate,Vegetarian | Other,TRUE,Unspecified
21/02/2024 12:50,Undergraduate,N/A,TRUE,1st Year
21/02/2024 15:36,Graduate,N/A,TRUE,Unspecified
21/02/2024 17:52,Undergraduate,N/A,FALSE,4th Year
